U.S.A.	Stati Uniti d'America	<http://it.wikipedia.org/wiki/Stati_Uniti_d'America>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
Koibana!	Koibana! Koiseyo Hanabi	<http://it.wikipedia.org/wiki/Koibana!_Koiseyo_Hanabi>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
C.O.R.E.	C.O.R.E. Digital Pictures	<http://it.wikipedia.org/wiki/C.O.R.E._Digital_Pictures>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
S.V.B.E.E.V.	Valeo si vales	<http://it.wikipedia.org/wiki/Valeo_si_vales>	
Jacq.	Nikolaus Joseph von Jacquin	<http://it.wikipedia.org/wiki/Nikolaus_Joseph_von_Jacquin>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Hook.	William Jackson Hooker	<http://it.wikipedia.org/wiki/William_Jackson_Hooker>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
M.A.B.	Mirko Zonca	<http://it.wikipedia.org/wiki/Mirko_Zonca>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Impulse!	Impulse! Records	<http://it.wikipedia.org/wiki/Impulse!_Records>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
K.O.	Knock-out	<http://it.wikipedia.org/wiki/Knock-out>	
Moonlight----.	Moonlight ----.	<http://it.wikipedia.org/wiki/Moonlight_----.>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
D.N.A.	DNA (disambigua)	<http://it.wikipedia.org/wiki/DNA_(disambigua)>	
U.I.L.	Unione Italiana del Lavoro (1918-1925)	<http://it.wikipedia.org/wiki/Unione_Italiana_del_Lavoro_(1918-1925)>	
Alambrista!	Il clandestino	<http://it.wikipedia.org/wiki/Il_clandestino>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
A.N.P.I.	Associazione Nazionale Partigiani d'Italia	<http://it.wikipedia.org/wiki/Associazione_Nazionale_Partigiani_d'Italia>	
Curses!	Curses (videogioco)	<http://it.wikipedia.org/wiki/Curses_(videogioco)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame> 
A.C.E.	Another Century's Episode	<http://it.wikipedia.org/wiki/Another_Century's_Episode>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
BANG!	!Bang!	<http://it.wikipedia.org/wiki/!Bang!>	
BANG!	Bang (The Jesus Lizard)	<http://it.wikipedia.org/wiki/Bang_(The_Jesus_Lizard)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
BANG!	Bang! (gioco di carte)	<http://it.wikipedia.org/wiki/Bang!_(gioco_di_carte)>	
BANG!	Bang (film)	<http://it.wikipedia.org/wiki/Bang_(film)>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
BANG!	Gun (bastone)	<http://it.wikipedia.org/wiki/Gun_(bastone)>	
BANG!	BANG! (Cinema Bizarre)	<http://it.wikipedia.org/wiki/BANG!_(Cinema_Bizarre)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
BANG!	Punta alle 8	<http://it.wikipedia.org/wiki/Punta_alle_8>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
BANG!	Bang! (Nightmare of You)	<http://it.wikipedia.org/wiki/Bang!_(Nightmare_of_You)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Q.e.d.	Come volevasi dimostrare	<http://it.wikipedia.org/wiki/Come_volevasi_dimostrare>	
Is.M.E.O.	Istituto italiano per il Medio ed Estremo Oriente	<http://it.wikipedia.org/wiki/Istituto_italiano_per_il_Medio_ed_Estremo_Oriente>	
H.A.M.	H•A•M	<http://it.wikipedia.org/wiki/H•A•M>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Aa!	Hello! Project	<http://it.wikipedia.org/wiki/Hello!_Project>	
M.I.S.E.	Ministero dello Sviluppo Economico	<http://it.wikipedia.org/wiki/Ministero_dello_Sviluppo_Economico>	
R.O.A.N.	Reparto Operativo Aeronavale (Guardia di Finanza)	<http://it.wikipedia.org/wiki/Reparto_Operativo_Aeronavale_(Guardia_di_Finanza)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
A.I.C.C.	Associazione Italiana di Cultura Classica	<http://it.wikipedia.org/wiki/Associazione_Italiana_di_Cultura_Classica>	
Voyagers!	Voyagers! - Viaggiatori del tempo	<http://it.wikipedia.org/wiki/Voyagers!_-_Viaggiatori_del_tempo>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Riderà!	Riderà (Cuore matto)	<http://it.wikipedia.org/wiki/Riderà_(Cuore_matto)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
S.C.A.R.L.	Società consortile	<http://it.wikipedia.org/wiki/Società_consortile>	
Hoodwinked!	Cappuccetto Rosso e gli insoliti sospetti	<http://it.wikipedia.org/wiki/Cappuccetto_Rosso_e_gli_insoliti_sospetti>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Ro.Ber.To.	Potenze dell'Asse	<http://it.wikipedia.org/wiki/Potenze_dell'Asse>	
A.B.O.	Arma Bio-Organica	<http://it.wikipedia.org/wiki/Arma_Bio-Organica>	
A.N.P.d'I.	Associazione Nazionale Paracadutisti d'Italia	<http://it.wikipedia.org/wiki/Associazione_Nazionale_Paracadutisti_d'Italia>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
I.DE.A.	I.De.A Institute	<http://it.wikipedia.org/wiki/I.De.A_Institute>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
I.D.E.A.	I.De.A Institute	<http://it.wikipedia.org/wiki/I.De.A_Institute>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Nep.	Cornelio Nepote	<http://it.wikipedia.org/wiki/Cornelio_Nepote>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
T.R.L.	Total Request Live	<http://it.wikipedia.org/wiki/Total_Request_Live>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
L.I.S.	Lingua dei segni italiana	<http://it.wikipedia.org/wiki/Lingua_dei_segni_italiana>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Emergency!	Squadra emergenza (serie televisiva 1972)	<http://it.wikipedia.org/wiki/Squadra_emergenza_(serie_televisiva_1972)>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
S.I.M.	Servizio informazioni militare	<http://it.wikipedia.org/wiki/Servizio_informazioni_militare>	
U.S.E.	Stati Uniti d'Europa	<http://it.wikipedia.org/wiki/Stati_Uniti_d'Europa>	
C.S.A.	Stati Confederati d'America	<http://it.wikipedia.org/wiki/Stati_Confederati_d'America>	
G.I.L.	Gioventù Italiana del Littorio	<http://it.wikipedia.org/wiki/Gioventù_Italiana_del_Littorio>	
O.N.D.	Opera Nazionale Dopolavoro	<http://it.wikipedia.org/wiki/Opera_Nazionale_Dopolavoro>	
G.R.F.	Gerarca	<http://it.wikipedia.org/wiki/Gerarca>	
Maninalto!	Maninalto! Records	<http://it.wikipedia.org/wiki/Maninalto!_Records>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
CO.F.S.	Comando interforze per le Operazioni delle Forze Speciali	<http://it.wikipedia.org/wiki/Comando_interforze_per_le_Operazioni_delle_Forze_Speciali>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
S.M.O.M.	Sovrano militare ordine di Malta	<http://it.wikipedia.org/wiki/Sovrano_militare_ordine_di_Malta>	
Alive!	Alive! (Snot)	<http://it.wikipedia.org/wiki/Alive!_(Snot)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive - Sopravvissuti	<http://it.wikipedia.org/wiki/Alive_-_Sopravvissuti>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive (Meshuggah)	<http://it.wikipedia.org/wiki/Alive_(Meshuggah)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive! (Kiss)	<http://it.wikipedia.org/wiki/Alive!_(Kiss)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive (P.O.D.)	<http://it.wikipedia.org/wiki/Alive_(P.O.D.)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive (Pearl Jam)	<http://it.wikipedia.org/wiki/Alive_(Pearl_Jam)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Alive!	Alive (manga)	<http://it.wikipedia.org/wiki/Alive_(manga)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics> 
Phffft!	Phffft... e l'amore si sgonfia	<http://it.wikipedia.org/wiki/Phffft..._e_l'amore_si_sgonfia>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Nav.Ar.Ma.	Moby Lines	<http://it.wikipedia.org/wiki/Moby_Lines>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
C.R.S.G.A.	Canonici regolari di San Giorgio in Alga	<http://it.wikipedia.org/wiki/Canonici_regolari_di_San_Giorgio_in_Alga>	
A.O.T.P.	Army of the Pharaohs	<http://it.wikipedia.org/wiki/Army_of_the_Pharaohs>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Gas!	Gas, fu necessario distruggere il mondo per poterlo salvare	<http://it.wikipedia.org/wiki/Gas,_fu_necessario_distruggere_il_mondo_per_poterlo_salvare>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
A.Ca.I.	Azienda Carboni Italiani	<http://it.wikipedia.org/wiki/Azienda_Carboni_Italiani>	
A.P.G.	Apparecchio di Punteria Generale	<http://it.wikipedia.org/wiki/Apparecchio_di_Punteria_Generale>	
V.V.V.V.V.	Vi veri universum vivus vici	<http://it.wikipedia.org/wiki/Vi_veri_universum_vivus_vici>	
F.A.R.	Fasci di Azione Rivoluzionaria	<http://it.wikipedia.org/wiki/Fasci_di_Azione_Rivoluzionaria>	
C.N.I.	Centro Nacional de Inteligencia	<http://it.wikipedia.org/wiki/Centro_Nacional_de_Inteligencia>	
C.R.A.S.H.	Community Resources Against Street Hoodlums	<http://it.wikipedia.org/wiki/Community_Resources_Against_Street_Hoodlums>	
EF!	Earth First!	<http://it.wikipedia.org/wiki/Earth_First!>	
A.F.S.	American Field Service	<http://it.wikipedia.org/wiki/American_Field_Service>	
A.D.ES.	Amici e Discendenti degli Esuli Giuliani, Istriani, Fiumani e Dalmati	<http://it.wikipedia.org/wiki/Amici_e_Discendenti_degli_Esuli_Giuliani,_Istriani,_Fiumani_e_Dalmati>	
Dé!	De'	<http://it.wikipedia.org/wiki/De'>	
Deh!	De'	<http://it.wikipedia.org/wiki/De'>	
Dè!	De'	<http://it.wikipedia.org/wiki/De'>	
Scialla!	Scialla! (Stai sereno)	<http://it.wikipedia.org/wiki/Scialla!_(Stai_sereno)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
A.k.a.	AKA	<http://it.wikipedia.org/wiki/AKA>	
R.U.R.	R.U.R. (Rossumovi univerzální roboti)	<http://it.wikipedia.org/wiki/R.U.R._(Rossumovi_univerzální_roboti)>	
D.P.C.m.	Decreto ministeriale	<http://it.wikipedia.org/wiki/Decreto_ministeriale>	
S.à.r.l.	Société à responsabilité limitée	<http://it.wikipedia.org/wiki/Société_à_responsabilité_limitée>	
W.E.	W.E. - Edward e Wallis	<http://it.wikipedia.org/wiki/W.E._-_Edward_e_Wallis>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
U.S.S.R.	Unione Sovietica	<http://it.wikipedia.org/wiki/Unione_Sovietica>	
Getaway!	Getaway! (film 1972)	<http://it.wikipedia.org/wiki/Getaway!_(film_1972)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
S.M.I.	Maestà imperiale	<http://it.wikipedia.org/wiki/Maestà_imperiale>	
Goal!	Gol	<http://it.wikipedia.org/wiki/Gol>	
Goal!	Goal! (film)	<http://it.wikipedia.org/wiki/Goal!_(film)>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
Goal!	Goal! (videogioco)	<http://it.wikipedia.org/wiki/Goal!_(videogioco)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame> 
Goal!	Goal - Speak English, Play Football	<http://it.wikipedia.org/wiki/Goal_-_Speak_English,_Play_Football>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
B.I.F.E.S.T.	Bari International Film Festival	<http://it.wikipedia.org/wiki/Bari_International_Film_Festival>	
Yes!	YES	<http://it.wikipedia.org/wiki/YES>	
L.B.Sm.	Lyman Bradford Smith	<http://it.wikipedia.org/wiki/Lyman_Bradford_Smith>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Panic!	Panic (MxPx)	<http://it.wikipedia.org/wiki/Panic_(MxPx)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Panic!	Panic (The Smiths)	<http://it.wikipedia.org/wiki/Panic_(The_Smiths)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Panic!	Panico	<http://it.wikipedia.org/wiki/Panico>	
Panic!	Panic (Death SS)	<http://it.wikipedia.org/wiki/Panic_(Death_SS)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Panic!	Panico (serie televisiva)	<http://it.wikipedia.org/wiki/Panico_(serie_televisiva)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
L.I.M.	Lavagna interattiva multimediale	<http://it.wikipedia.org/wiki/Lavagna_interattiva_multimediale>	
K-On!!	K-On!	<http://it.wikipedia.org/wiki/K-On!>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
T.H.E.	T.H.E. (The Hardest Ever)	<http://it.wikipedia.org/wiki/T.H.E._(The_Hardest_Ever)>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Schult.f.	Julius Hermann Schultes	<http://it.wikipedia.org/wiki/Julius_Hermann_Schultes>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Gotcha!	Toccato!	<http://it.wikipedia.org/wiki/Toccato!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Mons.	Monsignore	<http://it.wikipedia.org/wiki/Monsignore>	
T.P.ER.	Trasporto Passeggeri Emilia-Romagna	<http://it.wikipedia.org/wiki/Trasporto_Passeggeri_Emilia-Romagna>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Awkward.	Diario di una nerd superstar	<http://it.wikipedia.org/wiki/Diario_di_una_nerd_superstar>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
LA.O.S.	Raggruppamento Popolare Ortodosso	<http://it.wikipedia.org/wiki/Raggruppamento_Popolare_Ortodosso>	
Brink!	Brink! Sfida su rotelle	<http://it.wikipedia.org/wiki/Brink!_Sfida_su_rotelle>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
D.d.p.	Differenza di potenziale elettrico	<http://it.wikipedia.org/wiki/Differenza_di_potenziale_elettrico>	
A.G.	Show & AG	<http://it.wikipedia.org/wiki/Show_&_AG>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
D.I.T.C.	Show & AG	<http://it.wikipedia.org/wiki/Show_&_AG>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
O.S.Io.Hier.	Sovrano militare ordine di Malta	<http://it.wikipedia.org/wiki/Sovrano_militare_ordine_di_Malta>	
J.A.R.V.I.S.	Edwin Jarvis	<http://it.wikipedia.org/wiki/Edwin_Jarvis>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/FictionalCharacter>,<http://schema.org/Person> 
Pafff...bum!	Pafff... bum!/Io non ho pianto mai così	<http://it.wikipedia.org/wiki/Pafff..._bum!/Io_non_ho_pianto_mai_così>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Paff...bum!	Pafff... bum!/Io non ho pianto mai così	<http://it.wikipedia.org/wiki/Pafff..._bum!/Io_non_ho_pianto_mai_così>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
C.N.S.R.	Centro Nazionale Selezione e Reclutamento	<http://it.wikipedia.org/wiki/Centro_Nazionale_Selezione_e_Reclutamento>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Ra.C.I.S.	Raggruppamento carabinieri investigazioni scientifiche	<http://it.wikipedia.org/wiki/Raggruppamento_carabinieri_investigazioni_scientifiche>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
C.E.C.A.	Comunità europea del carbone e dell'acciaio	<http://it.wikipedia.org/wiki/Comunità_europea_del_carbone_e_dell'acciaio>	
E.L.F.	Elvish Linguistic Fellowship	<http://it.wikipedia.org/wiki/Elvish_Linguistic_Fellowship>	
L.S.F.	L.S.F. (Lost Souls Forever)	<http://it.wikipedia.org/wiki/L.S.F._(Lost_Souls_Forever)>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Khan!	Khan (serie televisiva)	<http://it.wikipedia.org/wiki/Khan_(serie_televisiva)>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
W.O.T.A.	Walk off the Earth	<http://it.wikipedia.org/wiki/Walk_off_the_Earth>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
E.N.G.	E.N.G. - Presa diretta	<http://it.wikipedia.org/wiki/E.N.G._-_Presa_diretta>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Pamp.	Renato Pampanini	<http://it.wikipedia.org/wiki/Renato_Pampanini>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
CO.RE.CO.	Comitato regionale di controllo	<http://it.wikipedia.org/wiki/Comitato_regionale_di_controllo>	
Woof!	Un cane di nome Wolf	<http://it.wikipedia.org/wiki/Un_cane_di_nome_Wolf>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
S.A.I.G.S.	Società Anonima Italiana Gomma Sintetica	<http://it.wikipedia.org/wiki/Società_Anonima_Italiana_Gomma_Sintetica>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Ombrellifere.	Apiaceae	<http://it.wikipedia.org/wiki/Apiaceae>	<http://dbpedia.org/ontology/Species> 
E.L.A.S.	Ellinikós Laïkós Apeleftherotikós Stratós	<http://it.wikipedia.org/wiki/Ellinikós_Laïkós_Apeleftherotikós_Stratós>	
S.u.a.p.	Sportello Unico per le Attività Produttive	<http://it.wikipedia.org/wiki/Sportello_Unico_per_le_Attività_Produttive>	
T.O.F.	Terzo ordine regolare di San Francesco	<http://it.wikipedia.org/wiki/Terzo_ordine_regolare_di_San_Francesco>	
M.S.G.	Michael Schenker Group	<http://it.wikipedia.org/wiki/Michael_Schenker_Group>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
C.I.S.A.R.	Centro Italiano Sperimentazione Attività Radiantistiche	<http://it.wikipedia.org/wiki/Centro_Italiano_Sperimentazione_Attività_Radiantistiche>	
Viva!	Viva (Bananarama)	<http://it.wikipedia.org/wiki/Viva_(Bananarama)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Viva!	Viva (Xmal Deutschland)	<http://it.wikipedia.org/wiki/Viva_(Xmal_Deutschland)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Viva!	VIVA	<http://it.wikipedia.org/wiki/VIVA>	
Viva!	Coppa del mondo VIVA	<http://it.wikipedia.org/wiki/Coppa_del_mondo_VIVA>	<http://schema.org/Event>,<http://schema.org/SportsEvent>,<http://dbpedia.org/ontology/Event>,<http://dbpedia.org/ontology/SportsEvent> 
Viva!	Viva! (Roxy Music)	<http://it.wikipedia.org/wiki/Viva!_(Roxy_Music)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Viva!	Luigi Viva	<http://it.wikipedia.org/wiki/Luigi_Viva>	<http://schema.org/Person>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person> 
Viva!	Tu amore mio/Viva	<http://it.wikipedia.org/wiki/Tu_amore_mio/Viva>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Viva!	Viva! (singolo)	<http://it.wikipedia.org/wiki/Viva!_(singolo)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
